address,port,vulns,org,country_name,city,ip_str,domains,hostnames
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.124.217,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.118.160,,
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.118.160,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.118.88,bgu.ac.il,"bgu.ac.il, web2.bgu.ac.il"
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.118.88,bgu.ac.il,web2.bgu.ac.il
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.124.233,,
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.211.254,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.118.41,bgu.ac.il,bgu.ac.il
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.118.139,bgu.ac.il,bgu.ac.il
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.64.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.124.126,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.124.201,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.118.23,bgu.ac.il,bgu.ac.il
132.72.0.0/16,443,"CVE-2014-0117, CVE-2017-7679, CVE-2017-9798, CVE-2015-3185, CVE-2015-3184, CVE-2015-3183, CVE-2013-4365, CVE-2018-5407, CVE-2022-28330, CVE-2021-32791, CVE-2021-32792, CVE-2024-38476, CVE-2024-38477, CVE-2023-31122, CVE-2009-0796, CVE-2022-2068, CVE-2014-0118, CVE-2020-11022, CVE-2020-11023, CVE-2013-6438, CVE-2020-1927, CVE-2023-0286, CVE-2023-3817, CVE-2017-3167, CVE-2021-32786, CVE-2021-32785, CVE-2007-4723, CVE-2021-44790, CVE-2016-4975, CVE-2020-13938, CVE-2023-2650, CVE-2023-0215, CVE-2020-35452, CVE-2022-22719, CVE-2020-1934, CVE-2022-36760, CVE-2022-4304, CVE-2019-1563, CVE-2014-3523, CVE-2013-5704, CVE-2019-17567, CVE-2022-31813, CVE-2012-4360, CVE-2014-0231, CVE-2021-26690, CVE-2021-26691, CVE-2019-0220, CVE-2022-30556, CVE-2021-39275, CVE-2014-3581, CVE-2016-0736, CVE-2022-29404, CVE-2018-1312, CVE-2006-20001, CVE-2017-15710, CVE-2014-0226, CVE-2024-0727, CVE-2009-3766, CVE-2009-3767, CVE-2009-3765, CVE-2022-22721, CVE-2022-22720, CVE-2019-10092, CVE-2021-3712, CVE-2023-0464, CVE-2023-0465, CVE-2023-0466, CVE-2015-9251, CVE-2019-10098, CVE-2015-0228, CVE-2016-5387, CVE-2017-15715, CVE-2021-40438, CVE-2011-1176, CVE-2022-23943, CVE-2018-17199, CVE-2021-23841, CVE-2018-1301, CVE-2018-1302, CVE-2020-1968, CVE-2021-34798, CVE-2023-25690, CVE-2020-11985, CVE-2021-4160, CVE-2013-4352, CVE-2022-26377, CVE-2014-0098, CVE-2016-8743, CVE-2024-40898, CVE-2024-38474, CVE-2022-0778, CVE-2020-1971, CVE-2009-1390, CVE-2012-3526, CVE-2023-5678, CVE-2017-3736, CVE-2017-3737, CVE-2019-1547, CVE-2017-3735, CVE-2009-2299, CVE-2022-1292, CVE-2017-3738, CVE-2012-4001, CVE-2022-37436, CVE-2021-23840, CVE-2018-0737, CVE-2018-0734, CVE-2018-0732, CVE-2017-9788, CVE-2018-0739, CVE-2014-8109, CVE-2013-2765, CVE-2011-2688, CVE-2016-2161, CVE-2016-8612, CVE-2019-1552, CVE-2013-0941, CVE-2013-0942, CVE-2019-1551, CVE-2019-1559, CVE-2019-11358, CVE-2018-1283, CVE-2018-1303, CVE-2019-0217, CVE-2022-28615, CVE-2022-28614",Ben Gurion University,Israel,Beersheba,132.72.118.136,bgu.ac.il,bgu.ac.il
132.72.0.0/16,53,,Ben Gurion University,Israel,Beersheba,132.72.41.44,,
132.72.0.0/16,18264,,Ben Gurion University,Israel,Beersheba,132.72.211.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Tifraẖ,132.72.179.65,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.118.69,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.96.254,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.118.161,bgu.ac.il,bgu.ac.il
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.118.161,,
132.72.0.0/16,53,,Ben Gurion University,Israel,Beersheba,132.72.73.234,bgu.ac.il,medusa.bgu.ac.il
132.72.0.0/16,18264,,Ben Gurion University,Israel,Tifraẖ,132.72.132.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.124.5,,
132.72.0.0/16,53,,Ben Gurion University,Israel,Beersheba,132.72.73.235,bgu.ac.il,med.bgu.ac.il
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.6.1,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.116.126,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.116.201,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.118.81,bgu.ac.il,"bgu.ac.il, primoveauth.bgu.ac.il"
132.72.0.0/16,18264,,Ben Gurion University,Israel,Beersheba,132.72.48.254,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.116.201,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.116.126,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.48.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Tifraẖ,132.72.160.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Tifraẖ,132.72.171.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.124.217,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Tifraẖ,132.72.181.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Tifraẖ,132.72.184.254,,
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.124.217,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.6.1,,
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.6.1,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.211.254,,
132.72.0.0/16,18264,,Ben Gurion University,Israel,Beersheba,132.72.124.126,,
132.72.0.0/16,53,,Ben Gurion University,Israel,Beersheba,132.72.140.45,bgu.ac.il,dns2.bgu.ac.il
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.84.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.124.233,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.24.1,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.23.254,,
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.23.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.163.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.117.254,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.151.254,,
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.151.254,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.145.254,,
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.145.254,,
132.72.0.0/16,443,,Ben Gurion University,Israel,Beersheba,132.72.124.201,,
132.72.0.0/16,80,,Ben Gurion University,Israel,Beersheba,132.72.124.201,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.179.66,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.151.254,,
132.72.0.0/16,264,,Ben Gurion University,Israel,Beersheba,132.72.86.254,,
