Domain,SPF,DMARC,DMARC Policy,DKIM,DKIM Status
private.scs.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
community.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
zero.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
scan.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
source.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
sales.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
lp.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
resources.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
api.scs.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
api.il-central-1.scs.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
sko.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
workshops.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
docs.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
gsnlink.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
join.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
remote-shell-demo.scs.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
checkmarx.com,No SPF record found,v=DMARC1; p=quarantine; pct=100,DMARC policy: p=quarantine,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC1uacXWsQIaEf2Ejx99VOzfIMsTx3x3nRzIsmscmfTVgDejICjSVzRfGVmVTSVbHWiBlxtlQM0RCdSh4YKmLpgVbzTxXz6i+sY/eTr/WotIJODM68Rooe7D+IdSmqwv+EjZ1p0numcg1Gh/zdPt6OqlINtbXJW5w7vqkQQY2d7nQIDAQAB; n=1024,1450864163,1,DKIM  public key found
advisory.scs.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
www.support.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
eureka.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
devhub.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
escaperoom.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
repo.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
support.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
www.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
www.lp.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
hf-poc.scs.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
www.devhub.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
dev-private.scs.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
info.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
www.eureka.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
mvideo.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
www.mvideo.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
*.private.scs.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
*.dev-private.scs.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
*.checkmarx.com,No SPF record found,No DMARC record found,Not found,No DKIM record found,
